abajon,voydod
otlomojoq,bolalar uchun mo‘ljallangan sakrab o‘ynaydigan o‘yin
otlontirmoq,kimnidir biror-bir joyga kuzatib qo‘ymoq
otliqmoq,hovliqmoq
av,ov
ov,iye
hov,iye
ogʻ,ogʻmoq. biror tarafga ogʻmoq. tarafkashlik
ovo,ova – ha
ovongord,guruch turi
ovot,obod
ovildiriq,uvildiriq
ovindin,ana unaqa
ovinnin,shunaqa
oviz,og‘iz suti
ovizlomoq,og‘izlamaq
ovich,hovuch
ovuch,hovuch
ovichlomoq,hovuchlamoq
ovloq,chekka
ovrimoq,ogʻrimoq
ovruv,ogʻriq
ovsor,tuya noʻxtasiga bogʻlangan temir
ovsin,ovsin
ovul,ovul
ovzochiq,sirsqalamaydigan odam
ovzibirchilik,hamjihatlik
ovushmoq,achishmoq
oxtoxono,molxona
oxtiq,nabira
oy,osmondagi oy
oyo,kaft. qoʻining bilak uchidan barmoqlargacha boʻlgan qoʻining bir qismi
oyolvant,ayalmant – koʻp bolali
oyomoʻjiz,qishning oxirgi kunlari
oyoq,oyoq
oyoqyolong,oyoq kiyimsiz
oyoqloshmoq,mol soʻyib
oyoz,ayoq
oyozlomoq,kasallanmoq
oydoy,tuzuk
oydin,biror-bir harakat yoki ishga nisbatan yaxshi
oyiq,koʻchma ma’noda qoʻllaniladi
oyirmoq,yormoq
oylonishmo,sayr
oylonjiq,bosh qismidagi soch atrofidagi aylana
oylonmo,aylana yoʻl
oyliq,oylik. maosh
oyno,ko‘zgu
oynonin,erkalash ma‘nosidagi so‘z
oynojoy,derazaning old qismi
oynoq-minyoq,uyoq-buyoq
oynog‘i,nari tarafı
oyner-miner,u yer
oyni,ayni
oyniqso,ayniqsa
oyri,alohida
oyro,alohida
oytimchiliq,xalq ogʻzaki ijodining nazmiy bir janri
oytmoq,aytmoq
oytuvli,oʻgʻil va qiz bolaning chaqaloqlik paytlaridayoq bir-birlariga unashtirib qoʻyish odatlari
oyvon,ayvon
ozondo,ertalab
oziqmoq,yalligʻlanmoq
ozmoq,oriqlamoq
ozuv,oziq tish
ozgʻin,oriq; ozgʻin
ozgʻino,ozgina
ogʻo,aka
og·olomoq,aka deb aytish
og·onomoq,agʻanamoq
og·oya,ini
og·oynichiliq,doʻstlik
og·och,yog·och
og·dormoq,tikka holatdan yotqizmoq
og·izlamoq,1. eslamoq
oshirmoq,orttirib
oshkadi,oshqovoq
oshqillomoq,oʻrinsiz asossiz yoki ortiq darajada.gʻururga berilmoq
oshqinlomoq,haddidan oshmoq
oshxono,oshxona
ochoq,quchoq
ochopat,yeb toʻymas
ochilishmoq,kayfiyati yaxshilanmoq
ochiqliq,oraliq
ochki,koʻzoynak
ochqilomoq,ochmoq
ochchiq,olib chiqmoq
opchiq,olib chiqmoq
ong,oling
ongo-tong,esankirab qolmoq
ongorroq,nariroq
ongdimoq,biror voqea yoki hodisaning sodir bo‘lishini
onggudik,anqov
ongiyo‘q,anqov
ongirqi,narigi
ongqoymoq,hayron qolmoq
ongqirmoq,qattiq qichqirmoq
ongroymoq,qarab turmoq
ongsot,oson
ongshirmoq,birmuncha tushunib yetmoq
ongshormoq,birmuncha tushunib yetmoq
ad-oʻvrayli,obroʻli
odi yoʻlina,nomigagina
ajidosh,achchiqtosh
ajimoq,tindirildi
alakim,suhbatdoshning salomiga javob qaytarishi
alapasirdi,gʻala-gʻovur
alaxumma,qovun turi
aldam-qaldam,kishini aldashga
oljoq,olmoqchi
alqosh,ichkilikni ko‘p ichadigan odam
almazar,mevazor
alviromoq,dovdiradi
alchaq,soʻzini ustidan chiqmaydigan odamga nisbatan aytiladi
alchoygon,alchaygan
anqov,esi past
aptiromoq,esankiramoq
aqizmoq,oqizdi
aqli,aqli
aqrava,sho‘r
aqsirmoq=asqirmoq,aksa urmoq
ara,ora
arolob,saralash
arqali,kelajakda yuz beradigan ishlarni oldindan biluvchi
arqoyin,xotirjam
artiqmoch,ortiq
asmo uqil,osma ukol
atalo,taom nomi
atliqmo,hovliqma. hovuringdan tush kabi ma’noda qoʻllaniladi
avlobosh,qabriston
ovliyobuvo,qabriston
avru,ogʻriq
axtiq,nevara
axsham,kecha
ayamoq,ayamoq
aydin,yaxshi
aylanma,aylanma yoʻl
eron,qatiqning kuvda moyi ajratib olingandan keyin qolgan suyuq qismi
ayrilmoq,ayrilmoq
ayrim,ayrim
oyriq,kovak ma’nosiga yaqin
aytimchi,toʻylarda lapar xalfa qoʻshiqlarini aytib yuradigan odamlarga nisbatan ishlatiladigan soʻz
agʻach,yogʻoch
agʻirsaldamli,ogʻir-bosiq
ag·moq,bir tarafıga egildi
oshillo,qo·shiq
ashqillomoq,oʻrinsiz
achki,koʻzoynak
angasoʻv,es-hushini ha deganda yigʻib ololmaydigan
angdimoq,poylamoq
angsiz,gapga ha deganda tushunib yetolmaydigan
angshirmaq,anglamoq
ongsharmaq,anglamoq
babang,juda katta
bad,tez harakat qiluvchi
badlanmoq,suqlandi
badro‘,badro‘y ko‘rinishi yoqimsiz
bajik,qo‘yning emadigan bolasi
bajraymoq,baqraymoq
baklama,tuzlama
baklamoq,berkitdi
bakli,berkilgan
bakra,baliqning bir turi
balo,uddaburon
ballî,ma‘lum
barak,chuchvara
bo‘rak,chuchvara
bas,bahs
bavak,go‘dak
buvak,go‘dak
banggi,biror narsaga mukkasidan ketgan
bolkadi,qovoq
baxtarap,uyning orqa qismi
bog‘tarap,uyning orqa qismi
bo,bor
bodli,kuchli
bodomoy,peshona-chakka taqinchog‘i. Bodom guli tushirilganligi sababli nomlanishi aynan shunday
bodya,sopol tovoq
bojo,opa-singillarning erlari
bol,asal
bolchingirik,shakarqamish
bolo,opa-singilning bolalari
boloq,ishton
boldoq,dasta
boldir,oyoqning son qismi
boldiz,erning qiz ukasi
bolgor,bulg‘or qalampiri
bolchin,go‘zal
bom,bu ham
bono-boxono,bahona biror harakat yoki niyatni amalga oshirish yoki oshirmaslik uchun o‘ylab topilgan soxta
bono,bu yonga
boplomoq,boplamoq
boqoloq,semiz odamga nisbatan ishlatiladi
boqroymoq,qaramoq
borl,iqtisodiy jihatdan baquvvat odam
borlomoq,yoʻqlamoq –yoʻqlamoq
borxit,mato turi. orqasi ip. yuzi tekis va qalin ipak tuklar bilan qoplangan mato
barx,mato turi. orqasi ip. yuzi tekis va qalin ipak tuklar bilan qoplangan mato
bosobos,toʻpolon
bosinniqmoq,alaxsiramoq
bosirinmoq,bostirilmooq
bosirigʻi,bosirib qoʻyish uchun moʻljallangan buyum
bosirmoq,bostirmoq
bosmochaynik,suv solish va qaynatish uchun moʻljallangan sirli choynak
bostirig,ot yoki eshak yopugi
bostirgʻi,ot yoki eshak yopugi
bostirma,usti berkitilgan koʻcha tomning ustini yopish uchun qoʻIlaniladigan qamish yoki shu kabilardan gʻaramlab qilinadi
botlonmoq,kuchaymoq
botmonnin,juda katta
botmoq,batqoq
bov,bogʻ
bovo,chol
boʻvo,chol
bovir,jigar
bogʻir,jigar
bovirsok,boʻgʻirsaq
boxono,bahona
boxil,ichi qora
boy,boy odam
boyoqish,bechora
boyoqi,ilgarigi
boyboʻy,voyvoʻ
boyimjon,baqlajon
boyiz,bois
boylomoq,bogʻla
boylom,bogʻlam
boyroq,bayroq. Mukofot
bozorgun,yakshanba
bogʻolo,bagʻalar
bogʻdosh,chordona qurmoq
bordosh,chordona qurmoq
mordosh,chordona qurmoq
bosho,ustunning tepasiga oʻrnatiladigan yogʻoch
boshormoq,qo‘lga olmoq
boshiqorong‘i,boshqorong‘ilik holatida bo‘lgan
boshuji,bosh tomoni
beda,bu yerda
begalishik,beso‘naqay
bejraymoq,ko‘zni lo‘q qilib turib olmoq
bekorchiliq,ishdan xolilik
belanggi,bel ogʻrigʻi bilan kasallangan odam
belo,tergash
belbuv,belga bogʻlanadigan
bemal,nomuvofiq
benovo,aqlsiz
bergi,qarz
bargi,qarz
bet,varaq
bevoriy,shart ergash gapli qo‘shma gaplarda shart gapga oid ehtimollik
bivori,shart ergash gapli qo‘shma gaplarda shart gapga oid ehtimollik
bez,doka paxta ipidan to‘qilgan gazlama
bezraymoq,bezrayib
beshak,qovunning bir turi
beshikchi,hasharotning bir turi
beshikortik,beshik ustiga yopiladigan chit
bechoro,bechora
bichoro,bechora
bikash,1.qayinsingil
bikach,1.qayinsingil
bidir,tezgap
bidir-bidir,gʻadir-budir
bidirdovuq,notekis
bijoq,buzoq
bijgʻimoq,iste’molga yaroqsiz boʻlmoq
bijir,qovunning bir turi
bijir-bijir,taqlid so‘z
bilak,qo‘lning tirsakdan panjagacha qismi. Yuqoridan yelka suyagining pastki qismi yoki tirsak bo‘g‘imi
bilomoq,atala
billonglodi,tez-tez har yonga tebranmoq
bilqildoviq,bilqildoq narsalar
bilqim,semiz
biltir,bultur
biltirgʻi,oʻtgan yilgi
bilgʻomoq,biror narsani iflos
bilchiq,yogʻingarchilikdan yoki suv bosgandan keyin hosil boʻladigan suyuq
biqti,nafas olishni qiyinlashtirmoq
bugʻdi,nafas olishni qiyinlashtirmoq
bir hiyli,boshqalardan biror jihatdan yoki butunlay farq qiladigan
bira,burga
birga,burga
birasa,ba’zan
birda yorim,har har zamon
birdiy,birday
birdin,birday
birin,burun
binni,burun
murin,burun
birlamak,paxtani yagonalamoq
birmalli,toʻsatdan
birvoxli,toʻsatdan
birnosi,oʻtgan yil
binnosi,oʻtgan yil
birnogʻi yil,oʻtgan yil
birporo voxti,yolgʻiz holda yoki bir soʻzi bilan ishlatilib
birroymo,tannoz
birt,moʻylov
mirt,moʻylov
biryonnon,bir boshdan
birzomon,bir laha
birgʻi,turtki
birch,murch
bitir,bitkaz
bitlas,bitliqi
bitta,ozgina
pitta,ozgina
biton,sement. qum va shag‘alga suv qo‘shib tayyorlangan qorishmaning zichlashib qotishidan hosil bo‘ladigan qurilish materiali
beton,sement. qum va shag‘alga suv qo‘shib tayyorlangan qorishmaning zichlashib qotishidan hosil bo‘ladigan qurilish materiali
biyano,buyon
bono,buyon
biyono,danak
biyovli,boyo‘g‘li
boyog‘ul,boyo‘g‘li
biyi,behi
bexi,behi
begi,behi
bivi,akaning xotini
yengnga,akaning xotini
biylamoq,siylash
bizoq,buzoq
bizoqvoshshi,tirmizak
bizbizoloq,buzmoq
big‘oz,homilador
bug‘oz,homilador
big‘ildi,bo‘g‘ildi
bug‘ildi,bo‘g‘ildi
big‘ir-big‘ir,qimirlamoq
big‘irdomoq,qimirladi
bo·g·irdoqlomoq,bosh chiqarmoq
big·irdi,harakatda bo·lmoq
bicho·ro,bechora
bichmoq,bichmoq
bichqi,qo·t arra
bijirdomoq,bijir-bijir qilmoq
bukmak,bukmoq
bukmoq,bukmoq
blyuda,cheti bir oz koʻtarilgan
boʻtji,hashorot turi
boʻkchimoq,sakradi
boʻla,xolavachcha
boʻlik,parcha
boʻlma,ichkari xona. xonaning boʻlingan qismi
boʻtaka. poʻtaya. poʻtiya,tovuqning hazm qilish organlaridan biri
boʻzvant,qoʻltiqqa taqiladigan ayollar bezagi nomi. Bu bezak buyum ostin-ustun oʻrnatilgan ikkita chorqirra tunuka boʻlakdan iborat boʻlib
boʻrsoq,boʻgʻirsoq
boʻdoy,bugʻdoy
boʻkmoq,keragidan ortiq ovqat yeb
bo·ldi-bo·modi,bo·Imagʻur
bo·ldigʻi,bo·ladigani
bo·ldirmoq,tugatmoq
bo·mbox,mato turi
po·mborxt,mato turi
bo·tolo,loy
boʻtqa,quyuqlanib qolgan taom
boʻvo,bobo
boʻyonoq,pardoz buyumlari
boʻyonmoq,pardoz qilmoq
boʻgʻoni,boʻlgani
boʻgʻim,boʻgʻin
bo‘g‘irdoq,bosh
bo‘sh,gapni
bo‘shshiqqina,yumshoqqina
broslet,bilakuzuk
buklam,buklangan
burundiq ena,vakil ona
butav,but
buyun,bugun
budoy,bugʻdoy
but,ikki son orasi
buz,muz
bubak,yosh bola
budoq,novda
bidoq,novda
bilamaq,aralashtirilgan holda pishirilgan taom turi
buloqi,xotin-qizlar burnini teshib taqadigan
burchuk,ko‘z
butuntirnoq,chakka-quloq taqinchog‘i.
bulonglomoq,bilonglamoq
bilonglomoq,bilonglamoq
burma,burma
burunsa,mollarning
büːryun,indinga. ertadan keying kun
buv,suyuqlik yoki qattiq jismlarning gazsimon holati
bugʻ,suyuqlik yoki qattiq jismlarning gazsimon holati
buvoz,homilador
buzaqvashshi,biror bir narsani parchalab yoki qoʻporib
bugʻcho,oʻrab
buxcho,oʻrab
buqcha,oʻrab
dabrinmoq,tentiramoq
dabalanmoq,tentiramoq
dapalanmoq,tentiramoq
dagan,degan
dayan,degan
dak,tinch
dakana,paxta ipidan siyrak qilib toʻqilgan yupqa gazlama
takana,paxta ipidan siyrak qilib toʻqilgan yupqa gazlama
dakvallikda,ancha-munchaga
daliz,karidor
dallamoq,terlamoq
dallik,eshakning ustiga yopiladigan yopinchiq
damir,temir
damkash,palov damlaydigan dasturxon
damkoʻta,bronxit
damratki,temratki
damrildi,termulmoq
damrilmoq,termulmoq
darmilmoq,termulmoq
dandiraklap,goh u tomonga
dandiramoq,tentiraklamoq
danjik,betartib harakat qiluvchi
dap boʻlmoq,yoʻq boʻlmoq
dapa,tepa
dapa gurring,behuda sōzlarni gapirish
dapak,tepangʻi
dapalashmaq,urushmoq
dapang,baland boyli
dapki,tepmoq
dapkilik,kasallik turi
dapmoq,tepmoq
dapsinmak,tepsinish. oyoq bilan tepish
darak,terak
daraklik,terakzor
darpanmoq,tebranmoq
darpatmak,tebratmoq
darruv,tez
darroʻm,tez
dars,goʻng
darvadar,doimiy turar joyi va belgili kasäbi bõlmagan odam.
dasmol siqmoq,ibora
dasta,turli asboblarning qoʻl bilan ushlanadigan qismi
davarak-tus=desh-davarak,tevarak-atrof
davlena,qon bosim
daydi,sang‘ish
dang,teng
dangamik,tengqur
danglamoq,tenglamoq
dodov,tik turmoq
dol,1. Tut daraxtining silliq
dolomoq,talamoq
dolon,darvozadan toʻgʻri kiriladigan
domoq,tomoq
domoqsov,ochofat
domor,tomir
domizliq,oqlik
dommoq,tommoq
donimoq,tanimoq
doniqqon,tanib olish uchun qandaydir belgisi yoki belgilari boʻlgan
doniqli,tanib olish uchun qandaydir belgisi yoki belgilari boʻlgan
donishtirmoq,tanishtirmoq
doqomoq,kim yoki nimadandir deb bilmoq
doqmoq,kim yoki nimadandir deb bilmoq
darangi,saksovul
dorushka,sholcha
doroshka,sholcha
dosmol,qozon
dasmal siqmaq,laganbardorlik qilmoq
dotmoq,tatimoq
dovocha,tumor
dovoyiqoq,talabchan
dovdir,anqov
dodir,anqov
doyov,baquvvat
doyi,toğâ. ayolning aka-ukalari oʻzidan kattalarga murojaat shakli
doyinmoq,siypanmoq
dogʻ,narsalarning boshqa biror modda
dogʻin,bogʻlovchi yoki yuklama vazifasida qoʻllaniladi
don,bogʻlovchi yoki yuklama vazifasida qoʻllaniladi
doshmo,toshma
dor,tor joy
dongni dirmalap,erta bilan
deri,teri
devmoq,tuymoq
duymoq,tuymoq
deyar-demas,tegar-tegmas
deyirmon,tegirmon
deyishmoq,hazillashmoq
deyizmoq,koʻchma ma’noda qoʻllaniladi gapning mazmunini kimsaga qaratmoq
deymoq,bir-biriga yoki bir narsaga bevosita yonma-yon
deyro,daryo
dayro,daryo
daryo,daryo
deyvol,devor
divol,devor
devol,devor
deshon,tashqari
desh,tashqari
dil,til
dilanmoq,tilanmoq
dilay,tilak
dilik,tilim
dilqomchi,nozik qamchi
dim,juda. gʻoyat
dima,biror bir narsani haddan tashqari boʻrtirish ma’nosida
dimotolo,biratoʻla
dimiq,dim
dimiqmoq,nafas qisilmoq
dimigʻmoq,havo yoʻq joy
dinnoq,tirnoq
diqilinch,tirbandlik
diqilmoq,juda ko‘p miqdorda bo‘lmoq
dirdin,ozginagina
dirmolovuq,uy-ro‘zg‘or anjomi
disliq,kir bosgan
digʻo,qiz toʻyida kuyovning
jigʻo,qiz toʻyida kuyovning
digʻiriq,jin koʻcha
digirchak=dirjak,gʻildirak
dibi,tubi
dipi,tubi
divi,tubi
dirsak,qo‘lning bilak suyagi bilan yelka suyagi qo‘shiladigan
dik=dak,tek
dikirdama,chaqqon
diklanmak,tiklanmoq
dillashmak,tilini topmoq
din,jim bo‘l
dindirmoq,ovutmoq
dinib oʻtir,barham topmoq
diramoq,tiramoq
dirav,tirgak
diri,tirik
ditmoq,tit-pit
div,tup
diyma,tugma
diz,tizza
dish,tish
duvoq,qozon qopqog‘i
duvtor,ikki torli
dutor,ikki torli
duxofka,materiallarni qizdirish
duxtr,shifokor
duzmoq,tuzmoq
dushlashmoq,duch kelmoq
dushiqmoq,duch kelmoq
dushloshmoq,uchrashmoq
dushmo-dush,qarama-qarshi
dupdurus,tuppa-tuzik
dubdurus,tuppa-tuzik
duburdi,dupurdi
dud,tutun
dudik,surnaycha
dugilmoq,tuyulmoq
dugur,boʻlak
duyur,boʻlak
dukon,doʻkon
dukurdi,dupurdi
dullanmoq,aynimoq
dulli-dulli,turli-tuman
dumdik,tik
dimdik,tik
dunak,hali pishib-yetilmagan qovun
tuynak,hali pishib-yetilmagan qovun
dunki,toʻṅka
dur,toʻxtamoq
durish,shaxsning hayot tarzi
durishda,shaxsning hayot tarzi
durtki,turtki
durtmoq,xalaqit bermoq
dusamma,dabdaba
dusanba,dabdaba
duvak,beshikning tuvagi
tuvak,beshikning tuvagi
duvalang,havoning yer sathi bo‘ylab
duvaray,bo‘ron
duymak,tugmoq
duynik,tuynuk
dunik,tuynuk
duyun,chigal
duyunchak,kiyim-kechak
dugunchak,kiyim-kechak
duzik,tizilgan
duzdik,qonun-qoida
duzlmoq,tizilmoq
duzum-duzum,ipga tizilgan bir xil
duzuvli,tuzuk
dush,tush
dushiga girmoq,tushiga kirmoq
dushunmak,tushunmadim
dungalak,paxta egatlarini yumshatadigan predmet
do‘ddi,ko‘rinishi yoqimsiz
do‘ldirmoq,to‘ldirmoq to‘lg‘azmoq
do‘li,ko‘p
dolishmoq,o‘sib
doʻn,toʻn
doʻngʻir=doʻngir=toʻngngir,yogʻ
doʻqqiz,fotiha qilingandan keyin qiznikiga olib boriladigan toʻqqiz tovoq
doʻri,toʻgʻri
doʻyimsiz,toʻyimsiz
doʻgʻrama,toʻgʻrama. kesilgan. maydalangan. ovqatning bir turi
dogʻri,toʻgʻri
doʻcha,hali pishmagan. gʻoʻr oʻrik. gʻoʻra
davcha,hali pishmagan. gʻoʻr oʻrik. gʻoʻra
doʻngmoq,badanidan sovuq oʻtib
doʻndirmoq,joyiga keltirib
do‘nmoq,turlanmoq
do‘ramoq,tug‘ilmoq
duramoq,vujudga kelmoq
do‘ram-do‘ram,do‘ram-do‘ram
do‘vdiramak,o‘rtada o‘ralashib yurmoq
do·vmak,tuymoq
do·zim barmoq,sabr-u toqat
do·shak,to·shak
do·shalmoq,laganbardorlik qilmoq
do·shamoq,to·shamoq
do·shik,teshik
evash,hunuk
ebjoʻsh,tut
egiz,egizak
ejashmoq,oʻchakishmoq
ejoyip,hammasi yaxshi
eka-teka,qalin doʻst
ekkalmak,olib kelmoq
el,qoʻl
elandi,kechikdi
eglandi,kechikdi
el boʻlmoq,hamma bilan bir xilda kelishib ketish
elamak,elamoq
elandı,yalinmoq
elapa,arafa
elasa,shunday boʻlsa
elashtirmoq,alashtrmaq
elot,mahalla
elotqoʻm,mahalla raisi
elli,ellik
elpatak,mehmondoʻst
elti,xalqda toʻy
emdolli,yaxshi
emgak,mehnat
emjak,koʻkrak
en,yelka
cyn,yelka
enaga,doya xotin
enoyi,aqli past
endam,pardoz
endarip,toʻkib
endiratma,zina
endirmoq,oshirmoq
enlanmak,kech qolmoq
eylanmak,kech qolmoq
enli,keng
enmak,yiqilmoq
ep,epchil
epashlamoq,ayamoq
erinchak,erinchoq
ertay,ertak
esirmaq,kekkaymoq
eyalik atmoq,egalik qilmoq
eyallamak,eyallamoq
eyar,agar
eyev,egov
eyin,egin
eyinbosh,kiyim-kechak
eyib,ayb
eyirmak,ip egirmoq
eylamak,kechikmoq
eylanmoq,kechikmoq
eymoq,iymak
ezaldan,avvaldan
ezali qodim,azaldan
eshakori,asalariga nisbatan kattaroq va zaharliroq boʻlgan qavoqari
eshakdış,usti jagʻning oldıngi qismida boʻladıgan tishlar
esharmoq,surmoq
eshik,hovli
engilmoq,egilmoq
eyilmoq,egilmoq
engsadan deyish,asabga tegish
engshashmak,gap talashmoq
