dialect,literary
әyirt,әgʼrt II
әyit,ayʼt
әyyamәjis,ayyamejьs
әylәmәk,"1. kechga qoldirmoq, yoʼldan toʼxtatmoq_x000D_
2. kechikmoq"
әyri,egri
әyri-uyri,egri-bUrgenchi
әkә,ota
әkә-toqa,opoq-chopoq bolmaq
әki:z,egiz
әksilmәk,"1. oʼksimoq_x000D_
2. qiynalmoq, azob chekmoq_x000D_
3. xafa boʼlmoq, qaygʼurmoq, xafa qilmoq"
әl,qoʼl; bag-qoʼlbogʼ
әlәmәk,"1. elamoq_x000D_
2. gʼiybat qilmok"
әlәpә,arafa
әlәsә,boʼlmasa
әlbәt,elbәtrәk- yaxshirok
әld,old
әldikchә,olyopqich
әlli,ellik
әlpәtәk,әllәtәktә-yәllәtәk- mehmondoʼst bolmaq- parvona boʼlmoq
әmgәk,mehnat
әmdam,gʼildirak qosqogi- ga birkitilgan yogʼoch
әmjәk,emchak
әnә,ona
әnәlik,oʼgay ona
әndam,pardoz
әndik,"1. gʼash, qitiq_x000D_
2. xalaqit"
әndirәtmә,zinapoya
әnzүrүg,nodir
әqnap,i:dә-chilon jiyda
әnnik,yetilmagʼan tuxum
әnshirәk,kәnshьrьk
әqәk,"1. iyak,_x000D_
2. oʼjar, qaysar; әңәklьk oʼjarlik"
әqәl,tegirmon toshi ustiga qoʼyiladigan ogʼir narsa
әqilmәk,egilmoq
әnsә,orqa tomondan boshning boʼyinga tutashgan yeri
әpәshlәmәk,"1. oro bermoq, bezamoq_x000D_
2. avaylamoq, ehtiyotlik bilan ish koʼrmoq"
әpkin,shabada
әplәmә,qoʼl uchida ish qiluvchi; amal-taqal
әrәvәk,әvәrәk
әrgәnәk,panjara
әrik I,oʼrik
әrinjәk,erinchoq
әryan,aryan
әrili-berili,nari-beri
әrnapʼ,әnnap
әs,әtmәk -eʼtibor etmoq: diqqat qilmoq
әsvәk,әspәk
әsirmәk,"1. mast boʼlmoq_x000D_
2. gerdaymoq"
әspәk,manʼ
әshshәdәraz,"1. qoʼgʼirchok uyini_x000D_
2. haddan tashqari novcha"
ә:k I,ohak
ә:k II,gʼildirak qasqonini tashkil qilgan yogoch parchalari
babaq ,
babʼr,
bavʼr,jigar
bavʼrsak,bu:rsaq
bagʼala,bagʼalar
bagʼalar,bolalar
bagʼana I,boya
bagʼana II,
bagʼdash,chordona
bagʼinmaq,baqыnmq
bad II,tez
badamcha,
badya,sopol tovoq
badlanmaq,kuchaymoq
badraq,bodring
badri:n,badran
bajʼman,
bajraymaq,baqraymoq
bayʼz,bois
bayavlʼ,boyoʼgʼli
bayaq,boya
bayja,ba:ja
bayqamaq,payqamoq
baylamaq,boglamoq
bayraq, 1. bayroq. 2. mukofot
baqay,
baqalaq,
baqan,1. ustun; 2. tirgak
baqachanaq,chigʼanoq
baqinmaq,
bal,bol
bala,
balar,
baldaq,
baldʼz,erning qiz ukasi
balqi,baliq (tut)
balchʼn,goʼzal
barʼshmaq,
barlamaq,
barlʼ,
barmaq, I. bormoq; 2. barmoq
bas,bә:s
basʼrmaq,bostirmoq
basʼrigʼ,bastʼrыgʼ
bastʼrigʼ,
bastʼrmaq,
bat-bat,kaltakesakning katta turi
batʼl,
batlʼ,bad
batman,qadoq
baxchaxana,bolalar bogchasi
basharmaq,
bashqalashmaq,boshqa-boshqa bulmoq
bash,bosh
ba,bor
ba:va,chol
ba:ja ,boja
ba:zar,bozor
ba:lar ,balar
ba:m,bu ham
 ba:na I,bahona
 ba:na II,bu yonga
ba:sha,
bәgәnmәk,sevinmoq
bәdrәq,badraң
bәdroy,xunuk
bәjik,qoʼzichoq (bolalar tilida)
bәk,mahkam
bәkishmәk,yopishmoq
bәklәmәk,yormoq
bәlli,
bәndirya, ajralish joyi
bәrәk,
bәrgisiz,bermas
bәtәl,battar
bәtәn,bәtәnә getьrmәk
bәhәnә,ba:na
bә:jik,bәjьk
bә:nәgә,mabodo
bә:s,bahs
bevәriy,mabodo
bedәv,argumoq
bedәvlәt,
bejәriksiz,lapashang
bejin,
bez,boʼz
beydә,bu yerda
beyi,behi
beyik,baland
belbuv,
gәnjә,kenja:
gәrdan,mayda kamishdan tigiz klib toʼkiladigan savat (odatda yirik don solinadi).
gәrdan,olifta;tannoz.
gәchchi,
gәchchi.2.,kallavaram:
gechәkiyәv,
gechchi,echki:
gijik,kichik savatcha (ichiga non
gijimәk,kichimok:
giyәv,kuyov:
giyәvәnt,
gilә,
gi:zlәmәk,yaashirmok
gi:zlaәjәk,balalar oʼyini(bekinmachok).
gi:lә,
gөgәyin,
gөzәnәk,vlak
gөyʼk,kuyuk; 2. dogʼ:
gөyim ,
gөyindik,kuygan
gөymәk,kuymok.
gөnә,
gөnәnmәk,yalgimoq:
gөnәrmәk,eskimok.
gөrәsh,
gөrdik,moldunyo:
gөrim,koʼrgilik. Kismat.
gөrlaq,goʼriston
gө:ja 1.,goʼja (ovqvt).
gө:ja 3.,tutning bir turi.
gө:shәmәk,
gүbәlәk,
gүbi,Migʼ.
gүgәyin,
gүdүrdi,guldur-guldur
gүdүrlәmәk,guldrmok:
gүzә,koʼzacha
gүzәram,kayikni
gүlvәnt,xotin-kizlarning boʼyniga takadigan bezak.
gүldirma:ma,momakaldirok:
gүlliyan ,kuvutka (koʼlga chikadigan yara).
gүltarash,yangi urilgan paxsa devorga bezak tushiradigan asbob.
gүlishamәk,kulishmok; 2. kula boshlamok:
gұnrәmәk,indamas.
gүpi,
gүppi,kiska paxtalik kamzil.
gүrin,
gүrrinlәmә,suxbat; 2. maslaxat:
gүrrinlәshmәk,soʼzlamok
gүchkәv,ich kuyov:
gүt-gүt,pichir-pichr
gүtgұtlәshmәk,pichirlashmok
gү:chkiyәv,
gʼabrʼshmaq,yanglishmok
gʼavacha,1. uzun tolali paxta 2.=gʼo:vacha
gʼalagʼarva,
gʼalәkә,tamba (ikki uchi ikki tomondagi devorga tiqib qoʼyiladigan uzun yogʼoch)
gʼarrʼm,
gʼijʼm,
gʼiljaymaq,tutilib gapirmok (mastlarga xos)
gʼir~volmaq,girgiton boʼlmoq
gʼirav,ip
gʼishsha ,qamish (ichi toʼk qamish)
gʼolagir,tom ustiga guvala qilib bostiriladigan loy
gʼolangir,
gʼolacha,1.gʼoʼlacha; 2. kichik koʼza
gʼomcha,4.=omcha
gʼopa,qamishning oʼsib turgʼani
gʼora,1. pishimagan
gʼoralaiaq,goʼra boʼlmaq; meva solmoq; 
gʼoch,
gʼuvush,
gʼudalaq,pakana
gʼuluq,oʼrik
dabbʼ,dobbʼ
dabrʼnmaq,davrʼmaq
dav,dava
dava 2,duo
davacha,tumor
davrʼqmaq,asovlanmoq
davrʼnmaq,1. hoʼmraymoq
davshan,tavshan
dagʼilmaq,tarqalmoq
dagʼimaq,daqlыmaq II
dagʼin,...da (bogʼlovchi-yuklama)
dadav,tik
dadʼmaq,tatimoq
dayav,1. kema tayogi (kemani suv oʼtasigʼa yoʼnaltirishda qoʼllanadigan uzun tayoq-shest). 2. ishchan; chayir (odam)
dayamaq,suyamoq
dayʼ,da:yʼ
dayʼnmoq,siypanmoq
daqqi,daqma II
daqma I,yolgʼonchi
dal I,1. tol (xodasi)
dalan ,yoʼlak xona:
dalvʼramaq,behuzur boʼlmoq:
daldʼramaq,dalvʼramaq
damavcha,1. tamaqcha
damaqlashmaq,ovqat kilishmoq
damaqsav,xoʼra
damar,1. tomir
damʼzliq,aqlыq
damliq I,xaborlik
damliq II,aqlыq
daqgʼʼm,tos; togʼora
daqimaq I,tangimoq
dangʼimaq II,tugamoq
daqishtʼrmaq,dongʼыshtʼrmaq
dar I,tor
dargʼa,kapitan
darʼ,tariq
darʼlmaq,yulamoq
darʼmaq,koʼmaklashmoq; dalda bermoq
daryan,dәryan
darxan,ozod
dasqar,chumchuqning bir turi (odatda bolalar saqlab
daslamaq,1. qirmoq
dasmal,qozon yuvgʼich
da:r,1. dor (oʼyin) 2. kiyim osadigan dor
da:rʼ,dori
dәblә,dөvlә
dәv I,dөv
dәv II,dәpәңңьsьs - toʼxtovsiz
dәvlә,dөvlә
dәvmәk,dөvmәk
dәvri,telpakning bir turi (tepa va quyi qismi bir xilda boʼladi)
dәgәlәy,qalpoq
dәgdi,etik ichidan kiyadigan yung paypoq
dәgish,yemirish
dәgishmә,hazil
dәyval,di:val
dәyil,dүgүl
dәymәk,tegmoq
dәk,tek
dәkәnә ,tәkәnә
dәkvәrdә,tezda
dәlvә,telba
dәllәmәk,terlamoq
dәlli,qoʼshmachi
dәllik,1. kigizning bir turi; 2. terlik (toʼqim ostidan qoʼyiladigan kigiz parchasi) 
dәltәk,oʼsimlikning bir turi (tuya tovon)
dәltir,oʼsimlikning bir turi
dәmʼr,temir
dәmkөtә,1. harsilloq
dәmrilmәk,termilmoq
dәqgәnә,gap
dәndirәmәk ,daydimoq
dәq,teng
dәqlәmәk ,tenglamoq
dәqәnә,dәngәnә
deqsʼmәk,tenglamoq
dәpә,1. tepa
dәpәlәsh,tepalash
dәpәq,baland boʼyli
dәpmәk,tepmoq
dәpkʼ,1. tepki; at dәpkʼsʼ 2. tepki mʼltыq dәpkʼsʼ; 3. pix: xoraz dәpkʼsʼ (Xiv
dәpmә ,1. sholi tuyadigan katta oʼgʼir (unga ot
dәra:z,novcha (odam)
dәrәk,terak: boyʼ va: 
dәrәchә,uy devorining yuqori qismida shamol kirib turishi uchun qoʼyilgan maxsus teshikcha
dәris,dәrs
dәrya,doira
dәryan,xonaki oʼchoq oldida oʼtirish joyi
dәryә,deyra
dәrpәnmәk,qimirlamoq
dәrrүv,darrov
dәrs,goʼng
dәsvәrdә,uqlovning kichik turi
dәsmal,dasmal
dә:li,jinni
deydi-deymәdi,oʼta yolgʼonchi
deyʼmsiz,tegdirmas
deyishmә,dәgьshmә
deymәk,dәymәk
deyra,daryo
delchә,dәrchә
desh,tashkari
diggildәmәk,kuchli qaltiramoq
digdirәmәk,dьggьldәmәk
digir,chigʼiriqning qasnogiga birkitiladigan xurma shaklidagi idish
digirjәk,gʼildirak
digirmәn,dьyьrmәn
digirchәk,dьgerjәk
diye,tuya
diyirmәn,yorgʼuchoq
diyү,tergov
dik,tik
diklәnmәk,tikilmoq
diq,chek
dirkә,omochning qulogʼi
di:v,tup
di:val,devor
di:z,tizza
di:m,jim
di:nmәk,tinmoq
di:nch,tinch
di:rәv,tirgak
di:rәmәk,tiramoq
di:ri,tirik
di:t-di:t,tit-pit
di:sh,tish
dʼgʼiriq,tor koʼcha
dʼygʼ,chek
dʼm,1. juda
dʼmarmaq,ortiq charchamoq: pay qapʼlgʼanay
dʼmjiqmaq,hidlanmoq
dʼnmaq,du:nmaq
dʼnnaq I,tirnoq
dʼrlamaq,1. dirillamoq; 2. jirillamoq
dʼrnaq,dʼnnaq
dʼshan,deshan
dobbʼ,qorni odatdan tashqari katta (odam
dovul,shamol
dovrʼnmaq,davrʼnmaq
dogʼma,1. choʼridan (quldan) boʼlgan oʼgʼil (eski); 2. oʼgʼil
dogʼmacha,oʼgʼilcha
dogʼmaq,tugʼmoq
dogʼrama,ovqatning bir turi
dodaq,lab
doddʼ,beparvo; anqov
doqqiz,toʼqqiz
dolanmaq,qayrilmoq; egilmoq
dom,toʼng; oʼjar; ~boyʼn - oʼz soʼzli
doq,1. muz; 2. ...gacha
doqmaq,sovqotmoq
doppʼ,toppʼ
dostʼrxan,dasturxon
doxsan,1. toʼqson; 2. qishning boshi (noyabrь oxiri va dekabrning boshi)
do:lʼ,toʼla
dөv,dev
dөvmәk,tuymoq
dөvoʼl,yogʼ idishi (odatda yogʼoch yoki qovoqdan boʼladi)
dөvlә,dөvүl
dөgmәk,dөvmәk
dөkim,mahalliy oʼgʼit
dөkin,dөkүm
dөlә,1. bostirma; 2. kulba; uy
dөnmәk,1. aynimoq
dөrәmәk,vujudga kelmoq
dөrәtmәk,yaratmoq
dөrimәk,dөrәmәk
dөshek,tushak
dөshik,teshik
dө:zmәk,chidamoq
dө:chә,du:cha
duva,dava II
dүvaq,qopqoq
duvacha,davacha
duvachiq,bolalar doʼppisiga taqiladigan bezak
duvtar,du:tar
dudaq,dodaq
duz,choʼl
dunʼmaq,tinmoq
dunʼtmaq,tinitmoq
duramaq,urchimoq
dushlashmaq,dushыqmaq
dushiqmaq,duch kelmoq
du:z,tuz
du:niq,xira
du:nmaq,xiralashmoq
du:sh,1. duch
dүvdәn,dү:dәn
dүgil,tugul
dүgilmәk,tiqilmoq
dүdmәk,chidamoq
dүzgit,asbob
dүzig,tartib
dүziy,tevaragiga bezak (munchoq) osilgan doʼppi
dүzүm-dүzүm,tizim-tizim
dүzmәk,sozlamoq
dүzүv,dүzʼy
dүzilmәk,tizilmoq
dүymә,tugma
dүyүn,tugun
dүyur ,dүgүl
dүlli-dүlli,turli-tuman
dүllimә-dulli,dүllь-dүllʼ
dүmpәk,tommыq
dүq,tүңgьr
dүqki,toʼnka
dүnүl,tunukadan qilingan sүt idishi (bidon)
dүrүshtә,beda bilan somonning qorilgani; terit
dү:dәn,1. kichik savatcha (baliqchilar asbobi); 2. non
dү:dik,surnaycha hushtak (tolning poʼstogʼidan yoki tүnүkadan yasaladi)
dү:nәk,tuynak
dү:nik,tuynuk
dү:tkәsh,1. moʼri
dү:sh,tush 
zabʼyi,boplamok
zavala,zuvala
zavlʼm,Xomitga bogʼlanadigan ip
zagʼama,kepchik
zaman,payt
zamariq,ziqorin
zamat,payt
zart,jart etmok
zәmi:n,buyinturuqning ikki tomonidagi yogoch
zәmmәt,zaxmat
zәrүv,zarur
zәrxal,darxol
zәtmәk,tuzatmok
zeykәsh,zьykәsh
zer-zavil,shumtaka
zer-zәvil,zer-zavʼl
zirәy,zirak
zʼq,zыn
zʼrq,pirt
zʼrt,zʼrq
ziq,ingichka va uzun buyli
zөtmәk,zәtmәk
zүlpitilla,xotin-qizlarning sochiga osadigan bezagi
yebrәnmәk,
yegәlәmәk,
yegirt,
yejәshmәk,oʼchakishmoq
yezuv,labning ikki chek-kasi.
yeyәv,egov
yeyәvlәmәk,egov-lamoq
yeyәlәmәk,birov-ning narsasiga ega boʼlmoq
yeyәr,agar
yeyәrmәk,ergash-moq
yeyvan,ayvon; hovli
yeyi,yaxshi
yeyilik,yaxshilik
yeyimәk,iyimo
yeyin,yelka; kift
yeyirmәk,
yeyirt,
yeyit,hayit
yeylәmәk,
yeylәnmәk,
yeymәk,egmoq
yeyran,ayron
yeyri,
yeki,ikki
yel, xalk
yelat,mahalla; mahalla aholi-si
yelәsә,
yelәshtirmәk,
yelgәzәr,
yelәmәk,zorlanmoq; zor-tavallo qilmoq
enә,
yepkin,
yerik,
yesh,
yeshәnlәmәk,kasallanmoq
yeshәrmәk,
yeshkәntmәk,
yeshmәk,eshmok; 2. esh-kak urmoq
ye:r,erta (ra-no):
yaban,yavan
yabʼ,ishchi ot; xashaki ot
yava,ya:va
yavaq,ya:va
yavan,qishloq
yavax,goh vaqt
yavva,ya:va
yavgʼan,yo:gʼan
yavʼn,yogin
yavrʼn,yagʼыn
yagʼ,jagʼ
yagʼin,orqa
yagʼish,yomgʼir
yagʼlamaq,yigʼlamoq
yagʼnamaq,yigʼmoq
yazgʼit,taqdir
yaziq,gunoh
yazdʼrmaq,boʼshatmoq
yazmaq,1. yozmoq; 2. yoymoq
yaynamaq,yayramoq
yaq,yoʼq
yaqachar,olyopqich; fartuk
yaqiyn,yaqin
yaqtʼ,yorug
yala,yola
yalaza,boʼshliq; ochiq maydon
yalama,
yalgʼamaq,yolgonni chin qilib soʼzlamoq
yaldʼramaq,yaltiramoq
yalʼmsaq,laganbardor; yalinchoq
yalʼn,yalың
yaliq,olov
yallʼqamaq,koʼmaklashmoq
yalpashmaq,agʼnamoq
yandaq,yantoq
yantashmaq,yondashmoq
yaq,yaq
yaqa,yangi
yaqagʼi,haligi
yaqaldan,yangʼidan
yaqilmaq,yanglishmoq
yaqilʼshiq,yanglish
yaqqi,boyagi
yaqsʼlamaq,taqlid qilmoq
yap,anhor
yapʼldaq, minishga tayyor (ot)
yar,jar
yarashigʼlʼ,yarashgan
yargʼanat,yerqanat
yarʼmaq,yolchimoq
yarʼmsaq,yalʼmsaq
yarʼn,kelgusi yil
yarmaq,1. yormoq; 2. qazimoq (ariq
yarmʼsh,
yarpaq,yorpaq
yarpʼ,ya:rʼ
yas,sayoz (say)
yasqa,kechuv (oʼtadigan
yatagʼ,1. yotaloq; 2. qizlar majlisi; 3. qoʼylar yotadigan joy
yatʼrmaq,yotqizmoq
yatqi,bachadon
yaxiyk,sovuq
yaxtʼ,yorugʼ
yashullʼ,rahbar
ya:va,ayri
ya:gʼi,yov
ya:rʼ,yarim
ya:s,aza
ya:t,yot
yә:rmәk,yubormoq
yegәnә,yakan qamishga oʼxshagan oʼsimlik.
yegmәk,haydamoq
yegʼlamaq,yigʼlamoq
yeddi,yetti
yәzdә,yeznә
yәznә,pochcha
yeyilmәk,yozilmoq
yeymә,yupqa koʼrpa
yek,yomon koʼrmoq
yelәk,xotin-qizlar kiyimi
yeklәnmәk,yek kөrmәk
yelәk,ayollar choponi
yelimshәk,yopishqoq; yelimsimon
yelpis,shamol
yelpildәmәk,hilpillamoq; tebranmoq
yenә,yana
yenchmәk,yanchmoq
yeqnamaq,yigʼmoq
yepkin,әpkьn
yer,yer
yesap,isap
yesәr I,
yesәr II,chaqkon
yetәshmәk,yetaklashmok
yetmәk,yetaklamoq
yetirmәk,yetkazmoq
yesh,hech
yөch kim,hech kim
yeshik,eshik
yishkim,hech kim
yilik,yүlүk
yilimәk,jilmoq
yiltildәmәk,hilpillamoq
yipәk,ipak
yipүpүch,popishak
yit,ket (itni haydab
yitirmәk,yoʼq etmoq
yitti,juda
yʼgʼirmaq,burishtirmoq; tirishtirmoq
yigʼnamaq,yeңmaq
yigʼranmaq,ыgʼranmaq
yʼynamaq,yigʼmoq
yiqmaq,yiqitmoq
yʼlamaq,yegʼlamaq.
yʼlʼqma,yʼlʼnma
yʼlʼmjʼ,
yʼlʼnma,iliqadigan
yʼlu,
yʼmʼrta,tuxum
yʼmʼrtqa,yʼmʼrta
yʼmriq,musht
yiqnamaq,yigʼmoq
yomasa,boʼlmasa; aks holda
yolmasa,boʼlmasa; aks holda
yogʼiyn,yoʼgʼon
yonja,yorʼnja
yonigʼchʼ,duradgor
yonʼshtʼrmaq,eplashtirmoq
yoqʼrchqa,yorʼnja
yoqqa,payraxa
yoq,yaң
yorgʼin,koʼrpa
yorʼnja,yoʼngichqa
yorʼmaq,taʼriflamoq
yormaq,yorʼmaq
yorpaq,yaproq
yo:gʼan,yog
yөlүn,harom magʼiz
yөtkirik,yүtkьrьk
yөn,qulay
yuvanmaq,yupanmoq
yuvusqa,yu:sqa
yu:q,yaqin
yuqum,foyda
yuma:q,yigirishga tayyor qilingan paxta tu- tami
yumʼrtqa,yʼmʼrta
yu:sqa,
yүzmәk,suzmoq
yүzikishmәk,1. uchrashmoq; 2. yuzlashmoq
yүzikmәk,1. yuz koʼrmoq; 2. koʼzikmoq
yүyirmәk,yugurmoq
yүlүk,ilik
yүlүn,harom magʼiz
yүlүq,yүlүn
yүnүl,yengil
yүqlәmәk,rivojlanmoq
yүpәk,yilәk
yүrimәk,yurmoq
yү:rәk,yugurik
kardi,dimogdor
ka:za,1.kichik kapa 2.kaza
ka:l,suv yuvub ketgan 
ka:n,koʼp:
ka:r,ish; vazifa; kasb
ka:sa,piyola:
kәbzә,
kәvәk,1.kavk 2.Qoshkopir 
kәvimәk,kakramok 
kәvin,koʼngil:
kәgirdәk,
kәj,1. kingʼir 
kәlәvach ,ipni kalava kilib oraydigan asbob 
kәlәk,shoxsiz echki
kәlәntәr,1.obkash 2.aʼyon
kәlәp,kalava(ip kalavasi)
kәlәpәtrә,tartibsiz 
kәlәsәn,axmok
kәllәk,kallak (daraxt shoxini chopish)
kәllәki,1.popokning bir turi;
kәltikәlәs,ankov (gapga kulok solmaydigan 
kәlchik,sokov 
kәlchiklәnmәk,1.duduklanmok 2.oʼz tiliga boshka tilni aralashtirib soʼzlamok
kәms,1. yarimta 
kәmis-kәdik, kamchilik. 
kәmmal,kambagal: 
kәniz,karniz. 
kant ,el; qishloq aholisi
kәntikәsәk,bisot
kenshirik,qanshar:
kәpin,kafan
kәpmәk kepmoq,qurimoq
kәppә,vayrona
kәpshirmә ,ulash (svarka): 
kәrvʼch,gʼisht:
kәrg,1. molning qorni dam boʼlganda ogʼziga solinadigan yogʼoch. 
kәrsʼ,ba-liq tutadigan savat
kәsirtkә,kaltakesakning bir turi.
kәt,karavot
kәtәn,qalin materiya (eshik parda
kәtәv ,hayvonlar tomogʼiga chiqadigan yara
kәtxuda,aqli raso
kәch,hatto
ham,
kәchkәrt,
kәshkәt,oʼroq-simon pichoq (oʼtoqda
Kәshmәk ,oʼgʼirlamoq
kez - asp,keyin
keli,oʼgir
kense,idora
kechkәy ,koshki
keshәnә ,sabil
kiynә,
kikik ,tutilib
kikirdәk,
killikcha,koʼkrakcha
kilit,kalit
kʼlmәk,
kʼmildirik ,
kʼrmәv ,chalmaq - chal moq: 
kʼrkʼrә, sholi tegirmoni
tiydәn ,teydәn
tiyip ,teyьp
tiymәk ,deymәk 
tikәch ,tukәch
tiqnirdәmәk ,dingirlamoq
tip ,di:v
tiskinmәk ,seskanmoq
tʼypaq ,tʼypaq ashыq-xirpa oshiq
tʼkʼr ,qыtʼr
tʼqqin ,probka
tʼmaq ,yung yoki ipdan qilingan bosh kiyimi (qishki)
tʼnʼmaq ,dunʼmaq
tʼrʼmsaq ,tirishqoq
tʼrnaq ,dʼnnaq 
tʼrtʼm ,jimjit 
tovshan ,tovushqon
togʼalaq ,omaloq
toqgʼir ,yog idishi (tunukadan)
toqgʼirtqa ,toqыtqa
tomʼrtqa ,toqыtqa
toq ,muz
tor ,1. ov toʼri; 2. deraza pardasi; 3. toʼriq (ot rangi)
torqa ,totra
torqildamaq ,taraqlamoq
torriq ,ipning notekis joyi
torsaymaq ,zoʼr qaygʼuga tushmoq
tosalaq ,serjahl; sirkasi suv koʼtarmaydigan. 
toshnav ,Qip. obrez
toshshʼ ,obrez
tөbә ,dәpә
tөbәlәsh ,dәpәlәsh
tөgәnәk ,togʼalaq
tөgin ,dөkьn
tөzmәk ,dөzmәk
tulp ,soxta buzoq
turʼsh ,1. nordon
tuta:niq ,tүtәnәk
tutashtʼriq ,tutantiriq
tutuq ,deraza pardasi. 2. xira
tushoxa ,ayri (ikki shoxlisi)
tu:t ,tut (daraxt)
tүzүv ,dүzьy
tүy ,tuk:hoppʼ sәmьz yazgʼʼ yoq
tuymә ,dүymә
tүymәk ,dөvmәk
tүkәnmәk ,tamom boʼlmoq
tүkәch ,chakich
tөmәn,past
tөqlik ,dү:nьk
tөshәk ,tushak
tө: jim ,әtmәk-yigʼmoq jamlamoq
tuvrama ,ovqatning turi
tuzoq ,qopqon
tuynaq ,teri qiradigan asbob
tүlp ,turp
tүqkә ,tunukadan yasalgan chiroq
tүniyn ,u kuni
tүnmәk ,dүnmәk
tuqni ,tүnkь
tүqlүk ,dү: nьk
tүrmә ,ipakdan toʼqilgan sochoqsimon roʼmol
tүrrә ,darra (oʼyinda)
tүtүk ,dүdүk 
tүrshәk ,achchiq; nordon
tүtәnәk ,tut qoqadigan chodir
tүtәnik ,tүtәnәk
tүflik ,tupurik
ravak,ravok 
ravarag,lang 
ray,istak
rapʼrdavik,sergap
ratalla,
ras,tUrgenchi
r:ash,rosh (arik cheti
rejje,1.reja plan 2.ustlarining rejasi
rep,suri (pilla kurti surisi)
repi:de,yenchilganing katta turi
repche,1
repab,rubob
rʼbap,rebap
rʼsva,rasvo
rʼssik,rizk
rev,1.rux. 2.rang
rodapay,landavur
roray,ataylab
rostayʼ,befaxm
re:pek,1.dastrumol; rumolcha 2. rumol
re:shen,
rujje,
sabaq,savax
savax,
savʼslanmaq,sagыslanmaq
savgʼat,soіgʼat
savmaq 1,sovmok
savmaq 2,sapmoq
sagʼalaʼrʼq,baliqning kuyi jagi
sagʼalmaq,sogʼaymoq
sagʼat 1,soat
sagʼat 2,1. yomon 2.qaysar
sagʼislanmaq,roxatsizlanmok
sagʼsʼlanmaq,sagʼыslanmaq
sazaq,sazoq
sazmaq,ozmogʼ
say,sayoz
sayaq-sandʼraq,axloqsiz
